"Reporter","Partner","Trade","Product","Indicator","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Germany","China","Export","MachandElec","Export","16105066.0","18998546.0","23766003.0","22823311.0","29871487.385","37802313.598000005","32001561.303000003","33841139.849","36693933.04","29349490.31","28894900.931"
"Germany","China","Export","Metals","Export","3625791.0","4009701.0","4602152.0","4067435.0","4348313.665999999","5513801.021","5247630.393999999","5301986.408000001","5502453.196999999","4353117.272","4467171.798"
"Germany","China","Export","Minerals","Export","6651.0","8922.0","20285.0","25539.0","40733.661","74088.561","88974.621","96816.12400000001","51924.925","25700.885","28619.501"
"Germany","China","Export","Miscellaneous","Export","3265368.0","3965193.0","4451202.0","5487153.0","7010331.681999999","8892351.929","9451213.389000002","9944710.939000001","10752839.395000003","9055215.796000002","9516224.752"
"Germany","China","Export","PlasticorRubber","Export","1401741.0","1770092.0","2021891.0","2094526.0","2508085.535","2875144.5540000005","2955206.417","3236819.059","3551278.1670000004","3038344.654","3278562.8430000003"
"Germany","China","Export","StoneandGlass","Export","476305.0","597420.0","561424.0","440854.0","659977.528","856798.6029999999","786494.289","1076523.457","1005224.357","765182.939","792426.753"
"Germany","China","Export","TextilesandClothing","Export","231285.0","287243.0","339994.0","359078.0","486829.65700000006","633778.9460000001","541989.5920000001","615094.8090000001","627674.954","519727.48600000003","543485.8450000001"
"Germany","China","Export","Transportation","Export","6549337.0","7911527.0","9672091.0","11520311.0","21009022.296","27049572.696999997","27803493.288","27004366.464","32354345.935","23811773.7","27400991.697"
"Germany","China","Export","Vegetable","Export","45387.0","62052.0","57882.0","54248.0","69795.251","82093.121","87912.91999999998","275744.896","92759.572","79479.90100000001","89483.48"
"Germany","China","Export","Wood","Export","492804.0","524550.0","516868.0","553211.0","584866.312","794161.327","686790.1209999999","857816.2510000002","850421.762","590589.2050000001","690732.784"
"Korea","China","Import","AllProducts","Import","48556596.186","63025152.474","76926965.196","54245677.647","71573124.941","86430974.227","80782203.113","83051449.607","90071153.077","90248764.26","86978908.585"
"Korea","China","Import","Capitalgoods","Import","18216635.63599998","23147876.59500001","28071440.66500001","24561978.411000006","32619531.270999998","37516181.57499998","35602606.33000002","36823709.36200002","40000737.46499999","43549112.60800001","40856280.178999916"
"Korea","China","Import","Consumergoods","Import","11604717.721000012","14809479.26200001","15440043.651999976","12236878.993000006","15485393.500000006","18699840.778","18582817.443999987","20034852.667000003","20736060.52200001","20512172.411999997","21282874.04200001"
"Korea","China","Import","Intermediategoods","Import","14545570.030000012","19879067.39900003","27421730.402999967","14008286.988999978","19482279.576999955","25547524.201999992","23031901.58100003","22790635.317999974","25927605.193000004","23139321.283000022","21822616.00399999"
"Korea","China","Import","Rawmaterials","Import","4188568.325","5181108.563999999","5992116.721999997","3438197.2759999977","3984058.269000001","4665583.444999997","3551153.3010000004","3402220.853999998","3406748.8050000016","3048157.957","3017138.3599999994"
"Korea","China","Import","Animal","Import","952629.5199999999","993863.624","922995.3069999999","773139.6160000002","984978.206","1154772.1020000002","1023829.243","1021309.6930000001","1201170.489","1060472.358","1074377.4459999998"
"Korea","China","Import","Chemicals","Import","2735743.8129999996","3626936.4619999994","4601505.113","3652654.887","5074756.070000001","6836342.524000001","6135647.477","6361845.242999999","6998153.131999999","6665627.955","6877239.823999999"
"Korea","China","Import","FoodProducts","Import","809482.4920000001","1000352.3180000001","1142573.9640000002","902022.3879999999","1054495.49","1166171.811","1214149.5489999996","1410236.05","1427778.6369999999","1219123.5520000001","1333837.3849999998"
"Korea","China","Import","Footwear","Import","710209.802","793162.091","816378.676","727838.385","1000066.879","1247851.301","1277134.8560000001","1308398.555","1402789.2750000001","1347666.0480000002","1325362.792"
"Korea","China","Import","Fuels","Import","2189060.422","2631302.366","4135221.429","1704090.751","1904123.008","2099931.346","1399832.11","1343571.635","905697.619","505815.033","575331.645"
"Korea","China","Import","HidesandSkins","Import","556813.3859999999","641177.155","585999.098","506057.97099999996","732496.116","913251.5710000001","906660.738","937854.7710000001","1017275.3650000001","953167.498","964032.774"
"Korea","China","Import","MachandElec","Import","18938772.573","23795973.033","27590846.508","23897552.346","30460023.101999998","35648068.311000004","33502474.209","35713865.136","38707986.412","41773501.118","39812219.613"
